"Hot Spots - Method";"Self Time [%]";"Self Time";"Total Time";"Invocations"
"ar.edu.ungs.yamiko.ga.operators.impl.ProbabilisticRouletteSelector.buildRoulette()";"78.15439";"2084241.179 ms";"2089297.4 ms";"1039"
"java.util.concurrent.ThreadPoolExecutor$Worker.run()";"13.593978";"362527.672 ms";"400286.365 ms";"6"
"sun.rmi.transport.tcp.TCPTransport$ConnectionHandler.run()";"1.4084532";"37560.991 ms";"37560.991 ms";"1"
"ar.edu.ungs.yamiko.problems.vrp.TimeWindow.minGap(ar.edu.ungs.yamiko.problems.vrp.TimeWindow, int, Double, int)";"1.3318355";"35517.73 ms";"35517.728 ms";"21245796"
"org.apache.spark.executor.Executor$TaskRunner.run()";"1.0827867";"28876.031 ms";"2254639.066 ms";"39"
"ar.edu.ungs.yaf.vrp.BestCostMatrix$$anonfun$insertBC$1$$anonfun$apply$mcVI$sp$1$$anonfun$apply$mcV$sp$1.apply(scala.Tuple2)";"0.94440603";"25185.661 ms";"27673.508 ms";"4062606"
"ar.edu.ungs.yamiko.ga.operators.impl.ProbabilisticRouletteSelector.executeN(int)";"0.51288056";"13677.63 ms";"2103133.185 ms";"1040"
"org.apache.spark.ui.ConsoleProgressBar$$anon$1.run()";"0.26844984";"7159.089 ms";"7159.089 ms";"36968"
"ar.edu.ungs.yamiko.problems.vrp.utils.ScalaAdaptor$$anonfun$toScala$2.apply(Integer)";"0.22471628";"5992.791 ms";"5992.788 ms";"21195043"
"ar.edu.ungs.yamiko.workflow.parallel.spark.scala.SparkParallelIslandsGA$$anonfun$run$3.apply(ar.edu.ungs.yamiko.ga.domain.impl.DistributedPopulation)";"0.21245758";"5665.873 ms";"2225060.704 ms";"13"
"ar.edu.ungs.yaf.vrp.SBXCrossOverScala.execute(java.util.List)";"0.20529439";"5474.843 ms";"57178.848 ms";"103999"
"ar.edu.ungs.yamiko.problems.vrp.CVRPTWSimpleFitnessEvaluator.calcFullPenalties(java.util.List)";"0.20093028";"5358.46 ms";"49429.351 ms";"215170"
"ar.edu.ungs.yamiko.ga.domain.impl.DistributedPopulation.getAll()";"0.19044793";"5078.914 ms";"5078.902 ms";"31414279"
"org.apache.spark.executor.Executor$$anon$1.run()";"0.11780272";"3141.593 ms";"3141.841 ms";"751"
"ar.edu.ungs.yaf.vrp.BestCostMatrix$$anonfun$insertBC$1$$anonfun$apply$mcVI$sp$1.apply$mcV$sp()";"0.10504005";"2801.235 ms";"30813.971 ms";"2310714"
"ar.edu.ungs.yamiko.workflow.parallel.spark.scala.SparkParallelIslandsGA$$anonfun$run$3$$anonfun$2.apply(Object)";"0.0945928";"2522.625 ms";"2900.286 ms";"15601040"
"ar.edu.ungs.yamiko.problems.vrp.DistanceMatrix.getDistance(int, int)";"0.09341421";"2491.194 ms";"2491.19 ms";"44381114"
"ar.edu.ungs.yamiko.workflow.parallel.spark.scala.SparkParallelIslandsGA$$anonfun$run$3$$anonfun$apply$1.apply(Object)";"0.093154125";"2484.258 ms";"2974.672 ms";"15601040"
"ar.edu.ungs.yaf.vrp.SBXCrossOverScala$$anonfun$execute$1.apply(scala.collection.immutable.List)";"0.088464506";"2359.194 ms";"2359.193 ms";"459007"
"ar.edu.ungs.yaf.vrp.SBXCrossOverScala$$anonfun$execute$2.apply(scala.collection.immutable.List)";"0.071955554";"1918.929 ms";"1918.928 ms";"459015"
"ar.edu.ungs.yamiko.problems.vrp.VRPFitnessEvaluator.calcDuplicatePenalty(java.util.List, int)";"0.06802762";"1814.178 ms";"1814.175 ms";"215170"
"ar.edu.ungs.yamiko.problems.vrp.VRPFitnessEvaluator.calcOmitPenalty(java.util.List, int)";"0.064369865";"1716.632 ms";"1716.63 ms";"215170"
"ar.edu.ungs.yaf.vrp.BestCostMatrix$$anonfun$insertBC$1$$anonfun$apply$mcVI$sp$1$$anonfun$apply$mcV$sp$1$$anonfun$1.apply(scala.collection.immutable.List)";"0.064226285";"1712.803 ms";"1712.802 ms";"12145112"
"ar.edu.ungs.yamiko.problems.vrp.utils.ScalaAdaptor$.toScala(java.util.List)";"0.05838657";"1557.068 ms";"8563.999 ms";"918034"
"ar.edu.ungs.yamiko.problems.vrp.CVRPTWSimpleFitnessEvaluator.calcTWPenalty(ar.edu.ungs.yamiko.problems.vrp.Customer, ar.edu.ungs.yamiko.problems.vrp.Customer, double)";"0.057828266";"1542.179 ms";"37059.907 ms";"21245890"
"ar.edu.ungs.yamiko.problems.vrp.utils.RouteHelperScala$$anonfun$getRoutesInOneList$2$$anonfun$apply$1.apply(int)";"0.039937183";"1065.055 ms";"1065.052 ms";"21452139"
"ar.edu.ungs.yamiko.problems.vrp.utils.RouteHelperScala$$anonfun$getRoutesInOneList$2$$anonfun$apply$1.apply(Object)";"0.038488008";"1026.408 ms";"2091.461 ms";"21452139"
"ar.edu.ungs.yamiko.problems.vrp.utils.ScalaAdaptor$$anonfun$toScala$2.apply(Object)";"0.03657427";"975.372 ms";"6968.16 ms";"21195286"
"ar.edu.ungs.yamiko.problems.vrp.GeodesicalCustomer.isValidTimeWindow()";"0.032917526";"877.853 ms";"877.851 ms";"43436447"
"ar.edu.ungs.yamiko.problems.vrp.utils.RouteHelperScala$$anonfun$getRoutesInOneList$2.apply(scala.collection.immutable.List)";"0.027753972";"740.15 ms";"2881.137 ms";"913144"
"ar.edu.ungs.yamiko.ga.operators.impl.DescendantModifiedAcceptLigthEvaluator.execute(java.util.List, java.util.List)";"0.026063047";"695.056 ms";"810.79 ms";"104000"
"ar.edu.ungs.yaf.vrp.BestCostMatrix$$anonfun$insertBC$1$$anonfun$apply$mcVI$sp$1$$anonfun$apply$mcV$sp$1$$anonfun$1.apply(Object)";"0.025758265";"686.928 ms";"2399.731 ms";"12145112"
"ar.edu.ungs.yaf.vrp.SBXCrossOverScala$$anonfun$execute$3.apply(Object)";"0.02376136";"633.674 ms";"886.647 ms";"11182684"
"ar.edu.ungs.yamiko.workflow.parallel.spark.scala.SparkParallelIslandsGA$$anonfun$run$3$$anonfun$apply$2.apply(scala.Tuple2)";"0.022766955";"607.155 ms";"110227.89 ms";"103999"
"ar.edu.ungs.yamiko.problems.vrp.RoutesMorphogenesisAgent.translate(Integer[])";"0.02207756";"588.77 ms";"620.722 ms";"208000"
"org.apache.spark.HeartbeatReceiver$$anonfun$receiveAndReply$1$$anon$2.run()";"0.021513669";"573.732 ms";"600.833 ms";"751"
"ar.edu.ungs.yaf.vrp.SBXCrossOverScala$$anonfun$execute$4.apply(int)";"0.01976901";"527.205 ms";"527.203 ms";"11182599"
"ar.edu.ungs.yamiko.problems.vrp.utils.RouteHelperScala$.getRoutesFromIndividual(ar.edu.ungs.yamiko.ga.domain.Individual)";"0.019550772";"521.385 ms";"521.384 ms";"207998"
"ar.edu.ungs.yaf.vrp.SBXCrossOverScala$$anonfun$execute$4.apply(Object)";"0.019063115";"508.38 ms";"1035.583 ms";"11182599"
"ar.edu.ungs.yamiko.workflow.parallel.spark.scala.SparkParallelIslandsGA$$anonfun$run$3$$anonfun$apply$1.apply(ar.edu.ungs.yamiko.ga.domain.Individual)";"0.018389467";"490.415 ms";"490.414 ms";"15561038"
"ar.edu.ungs.yamiko.problems.vrp.utils.RouteHelperScala$.getRoutesModelFromRoute(scala.collection.immutable.List)";"0.016915467";"451.106 ms";"9301.226 ms";"207998"
"ar.edu.ungs.yamiko.workflow.parallel.spark.scala.SparkParallelIslandsGA$$anonfun$run$3$$anonfun$2.apply(ar.edu.ungs.yamiko.ga.domain.Individual)";"0.0141614815";"377.662 ms";"377.661 ms";"15597692"
"ar.edu.ungs.yamiko.ga.domain.impl.BasicPhenotype.<init>(ar.edu.ungs.yamiko.ga.domain.Chromosome, java.util.Map)";"0.013485472";"359.634 ms";"359.633 ms";"208000"
"org.spark-project.jetty.io.nio.SelectorManager$SelectSet$1.run()";"0.0121924365";"325.151 ms";"325.149 ms";"9720"
"ar.edu.ungs.yamiko.problems.vrp.utils.RouteHelper.getRoutesFromInd(ar.edu.ungs.yamiko.ga.domain.Individual)";"0.012047432";"321.284 ms";"321.282 ms";"215170"
"ar.edu.ungs.yamiko.problems.vrp.utils.RouteHelperScala$.getRoutesInOneList(scala.collection.immutable.List)";"0.010579207";"282.129 ms";"3502.373 ms";"208000"
"ar.edu.ungs.yamiko.workflow.parallel.spark.scala.SparkParallelIslandsGA$$anonfun$run$4.apply(ar.edu.ungs.yamiko.ga.domain.impl.DistributedPopulation)";"0.0105352225";"280.956 ms";"541.916 ms";"13"
"ar.edu.ungs.yaf.vrp.BestCostMatrix$$anonfun$insertBC$1$$anonfun$apply$mcVI$sp$1$$anonfun$apply$mcV$sp$1.apply(Object)";"0.010175357";"271.359 ms";"27962.024 ms";"4062613"
"ar.edu.ungs.yaf.vrp.BestCostMatrix$.insertBC(scala.collection.immutable.List, scala.collection.immutable.List[], scala.collection.mutable.ListBuffer)";"0.009909572";"264.271 ms";"31787.645 ms";"208000"
"ar.edu.ungs.yaf.vrp.BestCostMatrix$$anonfun$insertBC$1.apply$mcVI$sp(int)";"0.009810691";"261.634 ms";"31174.186 ms";"2310714"
"org.apache.spark.scheduler.TaskResultGetter$$anon$2.run()";"0.009696735";"258.595 ms";"258.593 ms";"315"
"ar.edu.ungs.yaf.vrp.SBXCrossOverScala$$anonfun$execute$3.apply(int)";"0.00948596";"252.974 ms";"252.971 ms";"11182684"
"ar.edu.ungs.yaf.vrp.BestCostMatrix$$anonfun$insertBC$1.apply(int)";"0.008155239";"217.486 ms";"31391.673 ms";"2310714"
"ar.edu.ungs.yamiko.workflow.parallel.spark.scala.SparkParallelIslandsGA$$anonfun$run$4$$anonfun$apply$5.apply(Object)";"0.006227029";"166.064 ms";"214.455 ms";"5342594"
"ar.edu.ungs.yamiko.problems.vrp.RoutesMorphogenesisAgent.develop(ar.edu.ungs.yamiko.ga.domain.Genome, ar.edu.ungs.yamiko.ga.domain.Individual)";"0.006065751";"161.763 ms";"1142.12 ms";"208000"
"scala.concurrent.impl.CallbackRunnable.run()";"0.0058205533";"155.224 ms";"178.325 ms";"12262"
