"Hot Spots - Method";"Self Time [%]";"Self Time";"Self Time (CPU)";"Total Time";"Total Time (CPU)";"Samples"
"scala.collection.convert.Wrappers$SeqWrapper.size()";"61.03701";"1.5658194393E7 ms";"1.5658194393E7 ms";"1.5658194393E7 ms";"1.5658194393E7 ms";"9947"
"org.apache.spark.rdd.RDD.foreach()";"27.629166";"7087877.197 ms";"635.892 ms";"7087877.197 ms";"635.892 ms";"30"
"org.netbeans.lib.profiler.server.ProfilerRuntimeCPUFullInstr.methodEntry()";"7.332394";"1881023.437 ms";"1847783.065 ms";"1881023.437 ms";"1847783.065 ms";"6445"
"scala.collection.immutable.List.foreach()";"0.9308892";"238806.644 ms";"238806.644 ms";"926721.27 ms";"883277.325 ms";"8199"
"java.util.Calendar.getInstance()";"0.5042937";"129369.515 ms";"129369.515 ms";"129369.515 ms";"129369.515 ms";"649"
"org.netbeans.lib.profiler.server.ProfilerRuntimeCPUFullInstr.methodExit()";"0.41252285";"105826.988 ms";"74604.099 ms";"105826.988 ms";"74604.099 ms";"522"
"scala.collection.convert.Wrappers$MutableBufferWrapper.add()";"0.21027069";"53942.015 ms";"53942.015 ms";"53942.015 ms";"53942.015 ms";"263"
"java.util.GregorianCalendar.add()";"0.15956147";"40933.269 ms";"40933.269 ms";"40933.269 ms";"40933.269 ms";"207"
"java.util.Calendar.setTime()";"0.14964007";"38388.074 ms";"38388.074 ms";"38388.074 ms";"38388.074 ms";"191"
"ar.edu.ungs.yamiko.problems.vrp.CVRPTWSimpleFitnessEvaluator.calcFullPenalties()";"0.14940655";"38328.168 ms";"38328.168 ms";"372905.047 ms";"354578.283 ms";"1847"
"scala.collection.AbstractSeq.diff()";"0.14416067";"36982.41 ms";"36982.41 ms";"36982.41 ms";"36982.41 ms";"193"
"java.util.Arrays.binarySearch()";"0.14017014";"35958.695 ms";"35958.695 ms";"35958.695 ms";"35958.695 ms";"180"
"scala.collection.AbstractIterable.foreach()";"0.1387854";"35603.461 ms";"35603.461 ms";"559112.083 ms";"530202.317 ms";"2775"
"ar.edu.ungs.yamiko.workflow.parallel.spark.scala.SparkParallelIslandsGA$$anonfun$run$3$$anonfun$2.apply()";"0.10853036";"27841.95 ms";"27841.95 ms";"47748.781 ms";"44618.278 ms";"408"
"org.apache.log4j.Category.warn()";"0.10368776";"26599.651 ms";"24758.111 ms";"26599.651 ms";"24758.111 ms";"129"
"java.lang.Object.hashCode[native]()";"0.083887525";"21520.175 ms";"21520.175 ms";"21520.175 ms";"21520.175 ms";"111"
"scala.collection.mutable.AbstractBuffer.$plus$plus()";"0.0787382";"20199.187 ms";"20199.187 ms";"20199.187 ms";"20199.187 ms";"108"
"java.util.HashSet.add()";"0.07780212";"19959.05 ms";"19959.05 ms";"19959.05 ms";"19959.05 ms";"102"
"ar.edu.ungs.yamiko.problems.vrp.CVRPTWSimpleFitnessEvaluator.calcTWPenalty()";"0.06013559";"15426.948 ms";"15426.948 ms";"256935.123 ms";"252436.745 ms";"1284"
"scala.collection.AbstractTraversable.maxBy()";"0.042701375";"10954.442 ms";"10954.442 ms";"58703.229 ms";"55572.727 ms";"296"
"ar.edu.ungs.yamiko.ga.operators.impl.ProbabilisticRouletteSelector.buildRoulette()";"0.04001412";"10265.065 ms";"10265.065 ms";"1.7439731631E7 ms";"1.742622642E7 ms";"5296"
"ar.edu.ungs.yamiko.problems.vrp.TimeWindow.minGap()";"0.032754336";"8402.668 ms";"8402.668 ms";"233321.823 ms";"230675.802 ms";"1168"
"ar.edu.ungs.yamiko.problems.vrp.VRPFitnessEvaluator.calcDuplicatePenalty()";"0.024127007";"6189.447 ms";"6189.447 ms";"17687.433 ms";"17687.433 ms";"91"
